868:93,S,92,79@0.98:376,867
867:93,S,92,79@0.98;79,S,'42',77@1:419,866
336:90,S,89,86@1;89,S,'33','58'@1:33_cluster_SspCNQ509|511064|305-484|4434|33_cluster_SspCNQ509-1695-Item38-Cond-Item39-A_nrp_Fill_0,58_cluster_WAC06738cluster004|67b8a2|305-484|7808|58_cluster_WAC06738cluster004-3024-Item35-Cond-Item36-A_nrp_Fill_0
332:92,T,66,92@0.99;66,S,'35','50'@1:35_cluster_SspNRRLS1521-3|4d8679|307-487|4644|35_cluster_SspNRRLS1521-1-1760-Item11-Cond-Item12-A_tyr_Fill_0,331
331:66,S,'35','50'@1;'50',T,69,'50'@1:327,330
330:'50',T,69,'50'@1;'50',T,'13','50'@1:13_cluster_AspOK074cluster1|2f3ccd|307-487|1745|13_cluster_AspOK074cluster1-691-Item31-Cond-Item32-A_nrp_Fill_0,50_cluster_WAC01529|b2e10b|307-487|6710|50_cluster_WAC01529-2568-Item32-Cond-Item33-A_nrp_Fill_0
327:'50',T,69,'50'@1;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|26e45e|307-487|4142|31_cluster_SluteocolorNRBC13826-1611-Item36-Cond-Item37-A_nrp_Fill_0,32_cluster_Ssilaceus-3|0da9d1|307-487|4269|32_cluster_Ssilaceus-1-1656-Item5-Cond-Item6-A_nrp_Fill_0
323:92,T,98,92@0.25;98,D,98,98@0.11:285,322
322:98,D,98,98@0.11;98,S,'71','01'@0.71:71_cluster_Kistamicin|011102|354-523|9849|71_cluster_Kistamicin-3711-Item6-Cond-Item7-A_no_call_Fill_0,321
321:98,S,'71','01'@0.71;'01',D,'01','01'@0.012:07_cluster_AkerFH1893nogabecin|13612f|312-487|887|07_cluster_AkerFH1893nogabecin-339-Item8-Cond-Item9-A_phe_Fill_0,320
320:'01',D,'01','01'@0.012;'01',T,'01',19@0.21:300,319
319:'01',T,'01',19@0.21;19,T,25,19@0.43:305,318
318:19,T,25,19@0.43;19,S,'52','08'@0.86:52_cluster_WAC4182cluster089|c61315|308-479|7059|52_cluster_WAC4182cluster089-2742-Item26-Cond-Item25-A_dhpg_Fill_0,317
317:19,S,'52','08'@0.86;'08',T,6,'08'@0.9:313,316
316:'08',T,6,'08'@0.9;'08',T,'08','55'@0.93:08_cluster_AlurRistocetin|abf26e|284-455|1014|08_cluster_AlurRistocetin-430-Item26-Cond-Item25-A_dpg_Fill_0,55_cluster_WAC05977|95f0b5|284-455|7462|55_cluster_WAC05977-2903-Item7-Cond-Item8-A_dhpg_Fill_0
313:'08',T,6,'08'@0.9;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|276c55|307-480|765|06_cluster_Ajap-Ristocetin-285-Item8-Cond-Item9-A_dpg_Fill_0,312
312:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|41ac20|288-461|7214|53_cluster_WAC4197cluster073-2788-Item7-Cond-Item8-A_dhpg_Fill_0,311
311:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|e2e0bc|307-480|3288|25_cluster_JPLW01000007-1282-Item8-Cond-Item9-A_dpg_Fill_0,27_cluster_KF882511-Ristocetin|e2e0bc|307-480|3592|27_cluster_KF882511-Ristocetin-1415-Item8-Cond-Item9-A_dpg_Fill_0
305:19,T,25,19@0.43;25,S,'45',23@1:45_cluster_WAC1376cluster143|6396c3|291-464|5869|45_cluster_WAC1376cluster143-2262-Item25-Cond-Item24-A_dhpg_Fill_0,304
304:25,S,'45',23@1;23,S,'44','46'@1:44_cluster_WAC1375|86eb70|287-460|5667|44_cluster_WAC1375-2128-Item7-Cond-Item8-A_dpg_Fill_0,46_cluster_WAC1416cluster068|4017ae|291-464|6078|46_cluster_WAC1416cluster068-2305-Item7-Cond-Item8-A_dhpg_Fill_0
300:'01',T,'01',19@0.21;'01',T,'01','48'@0.14:292,299
299:'01',T,'01','48'@0.14;'48',T,'39','48'@0.15:295,298
298:'48',T,'39','48'@0.15;'48',T,'48','02'@0.54:48_cluster_WAC1424cluster109|3f00df|291-464|6364|48_cluster_WAC1424cluster109-2484-Item24-Cond-Item23-A_dhpg_Fill_0,02_cluster_A47934|cfe15e|288-463|151|02_cluster_A47934-64-Item10-Cond-Item11-A_dpg_Fill_0
295:'48',T,'39','48'@0.15;'39',T,'39','60'@0.5:39_cluster_UK68597|b35ee4|311-486|5099|39_cluster_UK68597-1910-Item7-Cond-Item8-A_dpg_Fill_0,60_cluster_AsubtropicusNRRLB24665|33354c|311-486|8061|60_cluster_AsubtropicusNRRLB24665-3099-Item8-Cond-Item9-A_dhpg_Fill_0
292:'01',T,'01','48'@0.14;'01',T,'04','01'@0.61:04_cluster_AazureaDSM43854|058076|311-486|481|04_cluster_AazureaDSM43854-158-Item7-Cond-Item8-A_dhpg_Fill_0,291
291:'01',T,'04','01'@0.61;'01',T,'01','28'@0.7:01_cluster_A40926|b69bf0|290-465|95|01_cluster_A40926-13-Item7-Cond-Item6-A_dpg_Fill_0,28_cluster_NcoxDSM45129|4a58b3|310-485|3712|28_cluster_NcoxDSM45129-1494-Item11-Cond-Item12-A_dhpg_Fill_0
07_cluster_AkerFH1893nogabecin|13612f|312-487|887|07_cluster_AkerFH1893nogabecin-339-Item8-Cond-Item9-A_phe_Fill_0:'01',D,'01','01'@0.012;'01',TL,'01','07'@0.2
285:98,D,98,98@0.11;98,T,98,53@0.074:217,284
284:98,T,98,53@0.074;53,T,53,98@0.39:222,283
283:53,T,53,98@0.39;98,S,'71','01'@0.78:71_cluster_Kistamicin|492fcd|490-656|9840|71_cluster_Kistamicin-3710-Item2-Cond-Item3-A_no_call_Fill_0,282
282:98,S,'71','01'@0.78;'01',T,'10','01'@0.78:10_cluster_ArectNRRLB16090|91b351|886-1048|1356|10_cluster_ArectNRRLB16090-519-Item3-Cond-Item4-A_tyr_Fill_0,281
281:'01',T,'10','01'@0.78;'01',T,'01',14@0.78:239,280
280:'01',T,'01',14@0.78;14,S,'09',12@1:256,279
279:14,S,'09',12@1;12,S,11,6@1:07_cluster_AkerFH1893nogabecin|0ae4e5|895-1058|876|07_cluster_AkerFH1893nogabecin-338-Item3-Cond-Item4-A_bht_Fill_0,278
278:12,S,11,6@1;6,T,6,25@0.5:270,277
277:6,T,6,25@0.5;25,T,'04',25@0.5:04_cluster_AazureaDSM43854|eaed41|887-1050|472|04_cluster_AazureaDSM43854-157-Item3-Cond-Item4-A_bht_Fill_0,276
276:25,T,'04',25@0.5;25,S,'45',23@1:45_cluster_WAC1376cluster143|ff21dc|872-1035|5926|45_cluster_WAC1376cluster143-2263-Item29-Cond-Item28-A_bht_Fill_0,275
275:25,S,'45',23@1;23,S,'44','46'@1:44_cluster_WAC1375|b413c5|894-1057|5730|44_cluster_WAC1375-2127-Item3-Cond-Item4-A_bht|tyr_Fill_0,46_cluster_WAC1416cluster068|92ab0d|896-1059|6070|46_cluster_WAC1416cluster068-2304-Item3-Cond-Item4-A_bht_Fill_0
270:6,T,6,25@0.5;6,T,6,'08'@0.5:264,269
269:6,T,6,'08'@0.5;'08',T,'08','52'@0.25:08_cluster_AlurRistocetin|f97b18|884-1047|1074|08_cluster_AlurRistocetin-431-Item30-Cond-Item29-A_bht_Fill_0,268
268:'08',T,'08','52'@0.25;'52',T,'52','55'@0.5:52_cluster_WAC4182cluster089|7af037|886-1049|7048|52_cluster_WAC4182cluster089-2743-Item31-Cond-Item30-A_bht_Fill_0,55_cluster_WAC05977|c79709|883-1046|7413|55_cluster_WAC05977-2902-Item3-Cond-Item4-A_bht_Fill_0
264:6,T,6,'08'@0.5;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|fe5f01|886-1049|754|06_cluster_Ajap-Ristocetin-284-Item3-Cond-Item4-A_bht_Fill_0,263
263:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|c876dd|885-1048|7162|53_cluster_WAC4197cluster073-2787-Item3-Cond-Item4-A_bht_Fill_0,262
262:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|106ba6|883-1046|3277|25_cluster_JPLW01000007-1281-Item3-Cond-Item4-A_bht_Fill_0,27_cluster_KF882511-Ristocetin|106ba6|883-1046|3581|27_cluster_KF882511-Ristocetin-1414-Item3-Cond-Item4-A_bht_Fill_0
07_cluster_AkerFH1893nogabecin|0ae4e5|895-1058|876|07_cluster_AkerFH1893nogabecin-338-Item3-Cond-Item4-A_bht_Fill_0:12,S,11,6@1;11,SL,9,'07'@1
256:14,S,'09',12@1;'09',T,'11','09'@1:11_cluster_AregGY080|d0f836|895-1058|1462|11_cluster_AregGY080-601-Item3-Cond-Item4-A_bht_Fill_0,255
255:'09',T,'11','09'@1;'09',T,35,'09'@0.5:247,254
254:'09',T,35,'09'@0.5;'09',T,'03','09'@1:03_cluster_AalbaDSM44262|b89e0c|892-1055|348|03_cluster_AalbaDSM44262-95-Item3-Cond-Item4-A_bht_Fill_0,253
253:'09',T,'03','09'@1;'09',T,'09',9@1:09_cluster_AOHO0100074|5a50ae|893-1056|1208|09_cluster_AOHO0100074-461-Item3-Cond-Item4-A_bht_Fill_0,252
252:'09',T,'09',9@1;9,S,'40','51'@1:40_cluster_Vancomycin|b91546|894-1057|5199|40_cluster_Vancomycin-1955-Item3-Cond-Item4-A_bht|tyr_Fill_0,51_cluster_WAC4169cluster051|ba280c|896-1059|6819|51_cluster_WAC4169cluster051-2640-Item30-Cond-Item29-A_bht_Fill_0
247:'09',T,35,'09'@0.5;35,T,39,35@0.5:243,246
246:35,T,39,35@0.5;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|8cd520|894-1057|609|05_cluster_AbalhimycinaFH1894-230-Item3-Cond-Item4-A_bht_Fill_0,14_cluster_Balhimycin|c600a7|894-1057|1879|14_cluster_Balhimycin-708-Item3-Cond-Item4-A_bht_Fill_0
243:35,T,39,35@0.5;39,S,'18','26'@1:18_cluster_Chloroeremomycin-1|4e2bb9|891-1054|2379|18_cluster_Chloroeremomycin-1-960-Item3-Cond-Item4-A_bht_Fill_0,26_cluster_KaridNRRLB16535chlor|4e2bb9|891-1054|3439|26_cluster_KaridNRRLB16535chlor-1354-Item3-Cond-Item4-A_bht_Fill_0
239:'01',T,'01',14@0.78;'01',T,'29','01'@0.39:227,238
238:'01',T,'29','01'@0.39;'01',T,'01','02'@0.39:232,237
237:'01',T,'01','02'@0.39;'02',T,'02','39'@0.25:02_cluster_A47934|96a3b7|892-1055|216|02_cluster_A47934-63-Item6-Cond-Item7-A_tyr_Fill_0,236
236:'02',T,'02','39'@0.25;'39',T,'39','60'@0.5:39_cluster_UK68597|94efaf|892-1055|5090|39_cluster_UK68597-1909-Item3-Cond-Item4-A_tyr_Fill_0,60_cluster_AsubtropicusNRRLB24665|9b0aff|891-1054|8050|60_cluster_AsubtropicusNRRLB24665-3098-Item3-Cond-Item4-A_tyr_Fill_0
232:'01',T,'01','02'@0.39;'01',T,'48','01'@0.78:48_cluster_WAC1424cluster109|3b5f08|879-1043|6356|48_cluster_WAC1424cluster109-2485-Item28-Cond-Item27-A_tyr_Fill_0,231
231:'01',T,'48','01'@0.78;'01',T,'01','28'@0.89:01_cluster_A40926|3799f5|899-1062|106|01_cluster_A40926-14-Item11-Cond-Item10-A_tyr_Fill_0,28_cluster_NcoxDSM45129|12d4f1|893-1058|3701|28_cluster_NcoxDSM45129-1493-Item6-Cond-Item7-A_tyr_Fill_0
227:'01',T,'29','01'@0.39;'29',T,'29','47'@0.5:29_cluster_pekiskomycin|48a09c|924-1087|3807|29_cluster_pekiskomycin-1526-Item3-Cond-Item4-A_tyr_Fill_0,47_cluster_WAC1420|6cb684|912-1075|6261|47_cluster_WAC1420-2415-Item3-Cond-Item4-A_tyr_Fill_0
222:53,T,53,98@0.39;53,S,'61',51@1:61_cluster_FNTE|5a217a|890-1066|8232|61_cluster_FNTE-3135-Item3-Cond-Item4-A_trp_Fill_0,221
221:53,S,'61',51@1;51,S,'54','43'@1:54_cluster_WAC05379-1|edff73|897-1073|7238|54_cluster_WAC05379-1-2847-Item3-Cond-Item4-A_trp_Fill_0,43_cluster_WAC01325|536b71|892-1068|5607|43_cluster_WAC01325-2078-Item3-Cond-Item4-A_trp_Fill_0
217:98,T,98,53@0.074;98,T,98,66@0.19:191,216
216:98,T,98,66@0.19;66,T,66,76@0.25:200,215
215:66,T,66,76@0.25;76,T,76,'42'@0.25:203,214
214:76,T,76,'42'@0.25;'42',T,'42',53@0.51:42_cluster_WAC00631|c8684d|1851-2032|5467|42_cluster_WAC00631-2042-Item20-Cond-Item21-A_hpg_Fill_0,213
213:'42',T,'42',53@0.51;53,S,'61',51@1:207,212
212:53,S,'61',51@1;51,S,'43','54'@1:43_cluster_WAC01325|b6db0d|1819-2076|5566|43_cluster_WAC01325-2080-Item18-Cond-Item19-A_hpg_Fill_0,211
211:51,S,'43','54'@1;'54',T,'61','54'@1:61_cluster_FNTE|83000e|1821-1999|8191|61_cluster_FNTE-3137-Item18-Cond-Item19-A_hpg|hpg2cl_Fill_0,54_cluster_WAC05379-3|ba39af|1826-2084|7271|54_cluster_WAC05379-1-2851-Item7-Cond-Item8-A_hpg|hpg2cl_Fill_0
207:53,S,'61',51@1;'61',T,'43','61'@1:43_cluster_WAC01325|e1a992|313-569|5618|43_cluster_WAC01325-2079-Item8-Cond-Item9-A_hpg_Fill_0,61_cluster_FNTE|890b38|313-572|8170|61_cluster_FNTE-3136-Item8-Cond-Item9-A_hpg|hpg2cl_Fill_0
203:76,T,76,'42'@0.25;76,S,'57','59'@1:57_cluster_WAC06725|451761|1827-2010|7717|57_cluster_WAC06725-2978-Item20-Cond-Item21-A_hpg|hpg2cl_Fill_0,59_cluster_WAC06783|42685d|1827-2010|7965|59_cluster_WAC06783-3059-Item20-Cond-Item21-A_hpg_Fill_0
200:66,T,66,76@0.25;66,S,'35','50'@1:35_cluster_SspNRRLS1521-3|3cb15a|800-981|4666|35_cluster_SspNRRLS1521-1-1759-Item2-Cond-Item3-A_tyr_Fill_0,199
199:66,S,'35','50'@1;'50',T,'13','50'@1:13_cluster_AspOK074cluster1|ff28ca|1856-2037|1717|13_cluster_AspOK074cluster1-690-Item22-Cond-Item23-A_tyr_Fill_0,198
198:'50',T,'13','50'@1;'50',T,'50',69@1:50_cluster_WAC01529|9b5162|1874-2061|6691|50_cluster_WAC01529-2567-Item23-Cond-Item24-A_tyr_Fill_0,197
197:'50',T,'50',69@1;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|dfb632|1838-2037|4120|31_cluster_SluteocolorNRBC13826-1610-Item27-Cond-Item28-A_tyr_Fill_0,32_cluster_Ssilaceus-2|cb43ed|1838-2037|4251|32_cluster_Ssilaceus-1-1654-Item10-Cond-Item11-A_tyr_Fill_0
191:98,T,98,66@0.19;98,S,'71','01'@0.78:71_cluster_Kistamicin|8e9844|1342-1512|9798|71_cluster_Kistamicin-3712-Item14-Cond-Item15-A_no_call_Fill_0,190
190:98,S,'71','01'@0.78;'01',T,'10','01'@0.62:10_cluster_ArectNRRLB16090|9ee539|1763-1935|1321|10_cluster_ArectNRRLB16090-520-Item12-Cond-Item13-A_hpg_Fill_0,189
189:'01',T,'10','01'@0.62;'01',T,'01','39'@0.31:185,188
188:'01',T,'01','39'@0.31;'39',T,'60','39'@0.5:60_cluster_AsubtropicusNRRLB24665|294514|1798-1973|8080|60_cluster_AsubtropicusNRRLB24665-3100-Item17-Cond-Item18-A_hpg_Fill_0,39_cluster_UK68597|e5e4cd|1803-1980|5121|39_cluster_UK68597-1912-Item17-Cond-Item18-A_hpg|tyr_Fill_0
185:'01',T,'01','39'@0.31;'01',T,'02','01'@0.62:02_cluster_A47934|3c365b|1798-1975|172|02_cluster_A47934-65-Item20-Cond-Item21-A_hpg_Fill_0,184
184:'01',T,'02','01'@0.62;'01',T,'48','01'@0.31:178,183
183:'01',T,'48','01'@0.31;'01',T,'04','01'@0.83:04_cluster_AazureaDSM43854|40c465|1830-2006|498|04_cluster_AazureaDSM43854-159-Item15-Cond-Item16-A_hpg_Fill_0,182
182:'01',T,'04','01'@0.83;'01',T,'01','28'@0.89:01_cluster_A40926|2105e4|1794-1970|68|01_cluster_A40926-23-Item19-Cond-Item20-A_tyr_Fill_0,28_cluster_NcoxDSM45129|26d899|1799-1971|3738|28_cluster_NcoxDSM45129-1495-Item19-Cond-Item20-A_hpg_Fill_0
178:'01',T,'48','01'@0.31;'48',T,'48',25@0.12:48_cluster_WAC1424cluster109|2a4bff|1798-1975|6337|48_cluster_WAC1424cluster109-2483-Item15-Cond-Item14-A_hpg_Fill_0,177
177:'48',T,'48',25@0.12;25,T,'29',25@0.1:137,176
176:25,T,'29',25@0.1;25,T,25,11@0.4:156,175
175:25,T,25,11@0.4;11,S,'07',9@1:07_cluster_AkerFH1893nogabecin|5b689a|1790-1967|904|07_cluster_AkerFH1893nogabecin-340-Item16-Cond-Item17-A_hpg_Fill_0,174
174:11,S,'07',9@1;9,T,35,9@1:160,173
173:9,T,35,9@1;9,T,39,9@1:163,172
172:9,T,39,9@1;9,T,'03',9@1:03_cluster_AalbaDSM44262|311e81|1790-1967|296|03_cluster_AalbaDSM44262-96-Item16-Cond-Item17-A_hpg_Fill_0,171
171:9,T,'03',9@1;9,T,'11',9@1:11_cluster_AregGY080|ac6242|1795-1972|1504|11_cluster_AregGY080-602-Item16-Cond-Item17-A_hpg_Fill_0,170
170:9,T,'11',9@1;9,T,'09',9@1:09_cluster_AOHO0100074|ca1b25|1795-1972|1189|09_cluster_AOHO0100074-462-Item15-Cond-Item16-A_hpg|hpg2cl_Fill_0,169
169:9,T,'09',9@1;9,S,'40','51'@1:40_cluster_Vancomycin|aa4140|1791-1968|5223|40_cluster_Vancomycin-1956-Item15-Cond-Item16-A_hpg|hpg2cl_Fill_0,51_cluster_WAC4169cluster051|66fb6a|1791-1968|6871|51_cluster_WAC4169cluster051-2638-Item18-Cond-Item17-A_hpg_Fill_0
163:9,T,39,9@1;39,S,'18','26'@1:18_cluster_Chloroeremomycin-1|2871d2|1803-1980|2404|18_cluster_Chloroeremomycin-1-961-Item15-Cond-Item16-A_hpg_Fill_0,26_cluster_KaridNRRLB16535chlor|2871d2|1803-1980|3464|26_cluster_KaridNRRLB16535chlor-1355-Item15-Cond-Item16-A_hpg_Fill_0
160:9,T,35,9@1;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|903de1|1802-1979|634|05_cluster_AbalhimycinaFH1894-231-Item15-Cond-Item16-A_hpg_Fill_0,14_cluster_Balhimycin|69cf6a|1802-1979|1847|14_cluster_Balhimycin-709-Item15-Cond-Item16-A_hpg_Fill_0
156:25,T,25,11@0.4;25,S,'45',23@0.8:45_cluster_WAC1376cluster143|89a266|1767-1944|5904|45_cluster_WAC1376cluster143-2261-Item17-Cond-Item16-A_hpg_Fill_0,155
155:25,S,'45',23@0.8;23,T,23,6@0.4:141,154
154:23,T,23,6@0.4;6,T,6,'08'@0.3:148,153
153:6,T,6,'08'@0.3;'08',T,'08','52'@0.25:08_cluster_AlurRistocetin|b5adf0|1764-1941|1052|08_cluster_AlurRistocetin-429-Item18-Cond-Item17-A_hpg_Fill_0,152
152:'08',T,'08','52'@0.25;'52',T,'52','55'@0.5:52_cluster_WAC4182cluster089|6721ad|1762-1939|6999|52_cluster_WAC4182cluster089-2741-Item18-Cond-Item17-A_hpg_Fill_0,55_cluster_WAC05977|7779c3|1758-1935|7435|55_cluster_WAC05977-2904-Item15-Cond-Item16-A_hpg_Fill_0
148:6,T,6,'08'@0.3;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|b7eff3|1760-1937|782|06_cluster_Ajap-Ristocetin-286-Item16-Cond-Item17-A_hpg_Fill_0,147
147:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|a35ef6|1760-1937|7184|53_cluster_WAC4197cluster073-2789-Item15-Cond-Item16-A_hpg_Fill_0,146
146:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|f68926|1760-1937|3305|25_cluster_JPLW01000007-1283-Item16-Cond-Item17-A_hpg_Fill_0,27_cluster_KF882511-Ristocetin|f68926|1760-1937|3609|27_cluster_KF882511-Ristocetin-1416-Item16-Cond-Item17-A_hpg_Fill_0
141:23,T,23,6@0.4;23,S,'44','46'@1:44_cluster_WAC1375|5eeb3d|1774-1951|5684|44_cluster_WAC1375-2129-Item15-Cond-Item16-A_hpg_Fill_0,46_cluster_WAC1416cluster068|d6e140|1771-1948|6095|46_cluster_WAC1416cluster068-2306-Item15-Cond-Item16-A_hpg_Fill_0
137:25,T,'29',25@0.1;'29',T,'29','47'@0.5:29_cluster_pekiskomycin|61ac15|1811-1988|3832|29_cluster_pekiskomycin-1529-Item15-Cond-Item16-A_hpg|hpg2cl_Fill_0,47_cluster_WAC1420|713508|1817-1994|6217|47_cluster_WAC1420-2418-Item15-Cond-Item16-A_tyr_Fill_0
130:92,T,77,92@0.9;77,S,76,73@0.92:18,129
129:77,S,76,73@0.92;73,S,'47',71@0.92:25,128
128:73,S,'47',71@0.92;71,T,71,'42'@0.92:124,127
127:71,T,71,'42'@0.92;'42',D,'42','42'@1:42_cluster_WAC00631|c8684d|3388-3568|5475|42_cluster_WAC00631-2042-Item24-Cond-Item25-A_tyr_Fill_0,42_cluster_WAC00631|27de41|1381-1557|5433|42_cluster_WAC00631-2040-Item4-Cond-Item5-A_trp_Fill_0
124:71,T,71,'42'@0.92;71,T,76,71@0.92:88,123
123:71,T,76,71@0.92;71,T,71,92@0.95:95,122
122:71,T,71,92@0.95;92,S,90,'62'@0.5:108,121
121:92,S,90,'62'@0.5;'62',T,84,'62'@0.5:115,120
120:'62',T,84,'62'@0.5;'62',T,'62',89@0.5:62_cluster_SspCNQ329.cluster001|f73c1e|3367-3545|8317|62_cluster_SspCNQ329.cluster001-3216-Item30-Cond-Item31-A_tyr_Fill_0,119
119:'62',T,'62',89@0.5;89,S,'33','58'@1:33_cluster_SspCNQ509|436ed9|3369-3547|4421|33_cluster_SspCNQ509-1694-Item32-Cond-Item33-A_tyr_Fill_0,58_cluster_WAC06738cluster004|d9a549|3360-3538|7882|58_cluster_WAC06738cluster004-3023-Item29-Cond-Item30-A_tyr_Fill_0
115:'62',T,84,'62'@0.5;84,S,'65',82@0.75:65_cluster_SspCNT371.cluster001|f326c5|3363-3541|8809|65_cluster_SspCNT371.cluster001-3384-Item32-Cond-Item33-A_tyr_Fill_0,114
114:84,S,'65',82@0.75;82,T,'63',82@0.75:63_cluster_SspCNQ525.cluster001|4ed3e5|3368-3547|8508|63_cluster_SspCNQ525.cluster001-3272-Item32-Cond-Item33-A_tyr_Fill_0,113
113:82,T,'63',82@0.75;82,S,'66','64'@1:66_cluster_SspCNY243.cluster001|731b10|3374-3553|8968|66_cluster_SspCNY243.cluster001-3438-Item32-Cond-Item33-A_tyr_Fill_0,64_cluster_SspCNQ865.cluster001|180773|3365-3544|8617|64_cluster_SspCNQ865.cluster001-3328-Item32-Cond-Item33-A_tyr_Fill_0
108:92,S,90,'62'@0.5;90,S,86,89@0.5:102,107
107:90,S,86,89@0.5;89,T,'62',89@0.5:62_cluster_SspCNQ329.cluster001|200519|311-489|8373|62_cluster_SspCNQ329.cluster001-3214-Item13-Cond-Item14-A_nme-fhorn_Fill_0,106
106:89,T,'62',89@0.5;89,S,'33','58'@1:33_cluster_SspCNQ509|646e66|311-489|4383|33_cluster_SspCNQ509-1692-Item14-Cond-Item15-A_trp_Fill_0,58_cluster_WAC06738cluster004|9587f7|297-475|7844|58_cluster_WAC06738cluster004-3021-Item11-Cond-Item12-A_trp_Fill_0
102:90,S,86,89@0.5;86,SL,'63',84@0.25;84,S,'65',82@0.75:65_cluster_SspCNT371.cluster001|19b0b6|311-489|8771|65_cluster_SspCNT371.cluster001-3382-Item14-Cond-Item15-A_d-trp_Fill_0,101
101:84,S,'65',82@0.75;82,T,'63',82@0.75:63_cluster_SspCNQ525.cluster001|a42d5d|311-489|8470|63_cluster_SspCNQ525.cluster001-3270-Item14-Cond-Item15-A_nme-fhorn_Fill_0,100
100:82,T,'63',82@0.75;82,S,'66','64'@1:66_cluster_SspCNY243.cluster001|ca1de8|325-503|8930|66_cluster_SspCNY243.cluster001-3436-Item14-Cond-Item15-A_d-trp_Fill_0,64_cluster_SspCNQ865.cluster001|e38985|311-489|8674|64_cluster_SspCNQ865.cluster001-3326-Item14-Cond-Item15-A_nme-fhorn_Fill_0
95:71,T,71,92@0.95;71,S,63,70@0.95:13_cluster_AspOK074cluster1|ff28ca|3400-3580|1725|13_cluster_AspOK074cluster1-690-Item26-Cond-Item27-A_tyr_Fill_0,94
94:71,S,63,70@0.95;70,S,69,66@1:31_cluster_SluteocolorNRBC13826|dfb632|3385-3565|4128|31_cluster_SluteocolorNRBC13826-1610-Item31-Cond-Item32-A_tyr_Fill_0,93
93:70,S,69,66@1;66,S,'35','50'@1:35_cluster_SspNRRLS1521-3|3cb15a|2323-2503|4674|35_cluster_SspNRRLS1521-1-1759-Item6-Cond-Item7-A_tyr_Fill_0,50_cluster_WAC01529|9b5162|3439-3619|6699|50_cluster_WAC01529-2567-Item27-Cond-Item28-A_tyr_Fill_0
31_cluster_SluteocolorNRBC13826|dfb632|3385-3565|4128|31_cluster_SluteocolorNRBC13826-1610-Item31-Cond-Item32-A_tyr_Fill_0:70,S,69,66@1;69,SL,'32','31'@1
13_cluster_AspOK074cluster1|ff28ca|3400-3580|1725|13_cluster_AspOK074cluster1-690-Item26-Cond-Item27-A_tyr_Fill_0:71,S,63,70@0.95;63,SL,61,'13'@0.95
88:71,T,76,71@0.92;76,T,76,100@0.89:28,87
87:76,T,76,100@0.89;100,S,98,'48'@0.89:83,86
86:100,S,98,'48'@0.89;'48',T,'02','48'@0.9:02_cluster_A47934|3c365b|3309-3487|180|02_cluster_A47934-65-Item24-Cond-Item25-A_bht_Fill_0,48_cluster_WAC1424cluster109|2a4bff|3324-3503|6345|48_cluster_WAC1424cluster109-2483-Item11-Cond-Item10-A_tyr_Fill_0
83:100,S,98,'48'@0.89;98,T,98,'39'@0.45:77,82
82:98,T,98,'39'@0.45;'39',T,'39','10'@0.25:39_cluster_UK68597|e5e4cd|3317-3499|5129|39_cluster_UK68597-1912-Item21-Cond-Item22-A_bht|tyr_Fill_0,81
81:'39',T,'39','10'@0.25;'10',T,'60','10'@0.5:60_cluster_AsubtropicusNRRLB24665|294514|3308-3486|8088|60_cluster_AsubtropicusNRRLB24665-3100-Item21-Cond-Item22-A_bht_Fill_0,10_cluster_ArectNRRLB16090|9ee539|3270-3448|1329|10_cluster_ArectNRRLB16090-520-Item16-Cond-Item17-A_bht_Fill_0
77:98,T,98,'39'@0.45;98,S,'71','01'@0.89:07_cluster_AkerFH1893nogabecin|5b689a|3304-3482|912|07_cluster_AkerFH1893nogabecin-340-Item20-Cond-Item21-A_bht_Fill_0,76
76:98,S,'71','01'@0.89;'01',T,'29','01'@0.22:54,75
75:'01',T,'29','01'@0.22;'01',T,'01',35@0.45:57,74
74:'01',T,'01',35@0.45;35,T,35,39@0.22:60,73
73:35,T,35,39@0.22;39,T,39,'03'@0.22:63,72
72:39,T,39,'03'@0.22;'03',T,'03','11'@0.28:03_cluster_AalbaDSM44262|311e81|3287-3467|304|03_cluster_AalbaDSM44262-96-Item20-Cond-Item21-A_bht_Fill_0,71
71:'03',T,'03','11'@0.28;'11',T,'11',9@0.25:11_cluster_AregGY080|ac6242|3302-3482|1512|11_cluster_AregGY080-602-Item20-Cond-Item21-A_bht_Fill_0,70
70:'11',T,'11',9@0.25;9,T,'09',9@0.5:09_cluster_AOHO0100074|ca1b25|3296-3476|1197|09_cluster_AOHO0100074-462-Item19-Cond-Item20-A_bht|tyr_Fill_0,69
